userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
9FH04,e,0,4,76,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,7
9FH04,e,0,4,76,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,6
9FH04,e,0,4,76,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,8
9FH04,e,0,4,76,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,7
9FH04,e,0,4,76,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,9
9FH04,e,0,4,76,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,2
9FH04,e,0,4,76,False,How many islands belong to Scotland,around 264,around 264
9FH04,e,0,4,76,False,The third largest city of Scotland is?,Dundee,Aberdeen
9FH04,e,0,4,76,False,Scotland entered into a political union with England?,on 1 May 1707,on 1 May 1707
9FH04,e,0,4,76,False,Scotland constitutes a distinct jurisdiction in:,public and private law,public and private law
9FH04,e,0,4,76,False,

