userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
10F,n,1,10,177,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,7
10F,n,1,10,177,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,6
10F,n,1,10,177,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,6
10F,n,1,10,177,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,6
10F,n,1,10,177,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,6
10F,n,1,10,177,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,9
10F,n,1,10,177,False,Which country does Laos not have a border with,Malaysia,Malaysia
10F,n,1,10,177,False,How many kingdoms was the Lan Xang kingdom was split into in the 18th century?,Three,two
10F,n,1,10,177,False,What are the origins of Laos current government?,The Pathet Lao Guerrillas,The Siam Independence Movement
10F,n,1,10,177,False,In what type of landscape do the ethnically dominant people of Laos live?,Interior Lowlands,Coastal Rice Plains
10F,n,1,10,177,False,Which country is not in the top three trade nations with Laos?,Cambodia,Cambodia
10F,n,1,10,177,False,Who determines the government policies in Laos?,The Prime Minister Thongsing Thammavong,The Central Committee of the LPRP
10F,n,1,10,177,False,The number of elected officials over the last twenty years has:,Increased to 132 members,Increased to 132 members
10F,n,1,10,177,False,What is lam?,A music style,A music style
10F,n,1,10,177,False,

