userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
15FM24,c,4,24,124,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,4
15FM24,c,4,24,124,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,1
15FM24,c,4,24,124,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,4
15FM24,c,4,24,124,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,4
15FM24,c,4,24,124,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,1
15FM24,c,4,24,124,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,1
15FM24,c,4,24,124,False,Which of the following names was a previous name of Equatorial Guinea?,Spanish Guinea,Spanish Guinea
15FM24,c,4,24,124,False,How is the largest geographical region of Equatorial Guinea called?,R??o Mun??,R??o Mun??
15FM24,c,4,24,124,False,What kind of forest ecoregion does Equatorial Guinea not have?,Tropical grassland forests,Tropical grassland forests
15FM24,c,4,24,124,False,Which international newspaper reported that Equatorial Guinea's citizens are not benefiting from infrastructure improvements?,The Guardian,The International Herald Tribune
15FM24,c,4,24,124,False,Which language is used in the official currency of Equatorial Guinea?,French,French
15FM24,c,4,24,124,False,Where is the traditional demarcation line between Fang and inland ethnic groups?,All of these answers,Niefang
15FM24,c,4,24,124,False,Which percentage of the population comes from the Ndowe and Fernandinos ethnic groups (combined) in Equatorial Guinea?,Less than 10%,Less than 10%
15FM24,c,4,24,124,False,What effect has oil extraction had in the population of Malabo?,Doubling,Doubling
15FM24,c,4,24,124,False,

