userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
3MW2421,e,3,21,41,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,11
3MW2421,e,3,21,41,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,1
3MW2421,e,3,21,41,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,1
3MW2421,e,3,21,41,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,11
3MW2421,e,3,21,41,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,4
3MW2421,e,3,21,41,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,1
3MW2421,e,3,21,41,False,Which country does Suriname not have a border with,Venezuela,French Guiana
3MW2421,e,3,21,41,False,An English-based lingua franca used in Suriname is:,Sranang,Sranang
3MW2421,e,3,21,41,False,Along which river was the earliest documented colony in Suriname?,The Suriname river,The Guiana river
3MW2421,e,3,21,41,False,When did full independence happened for Suriname?,In the decade of the 1970s,In the decade of the 1970s
3MW2421,e,3,21,41,False,Which two agricultural products are still a strong part of the economy?,Bananas and rice,Bananas and rice
3MW2421,e,3,21,41,False,The legislative branch of government consists of:,a 51-member unicameral Assembly,a 51-member unicameral Assembly
3MW2421,e,3,21,41,False,How is the President of Suriname elected:,With the vote of at least 34 members of the legislative body,With the vote of at least 34 members of the legislative body
3MW2421,e,3,21,41,False,The indigenous Amerindians constitute what part of the population:,Less than 4%,21.7%
3MW2421,e,3,21,41,False,

