userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
6MDH09,n,1,9,89,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,7
6MDH09,n,1,9,89,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,1
6MDH09,n,1,9,89,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,6
6MDH09,n,1,9,89,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,15
6MDH09,n,1,9,89,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,9
6MDH09,n,1,9,89,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,1
6MDH09,n,1,9,89,False,Which country does Laos not have a border with,Malaysia,Malaysia
6MDH09,n,1,9,89,False,How many kingdoms was the Lan Xang kingdom was split into in the 18th century?,Three,two
6MDH09,n,1,9,89,False,What are the origins of Laos current government?,The Pathet Lao Guerrillas,The Pathet Lao Guerrillas
6MDH09,n,1,9,89,False,In what type of landscape do the ethnically dominant people of Laos live?,Interior Lowlands,Foothills
6MDH09,n,1,9,89,False,Which country is not in the top three trade nations with Laos?,Cambodia,Cambodia
6MDH09,n,1,9,89,False,Who determines the government policies in Laos?,The Prime Minister Thongsing Thammavong,The Central Committee of the LPRP
6MDH09,n,1,9,89,False,The number of elected officials over the last twenty years has:,Increased to 132 members,Almost doubled
6MDH09,n,1,9,89,False,What is lam?,A music style,A variant of Buddhism
6MDH09,n,1,9,89,False,

