userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
MPS15,c,0,15,147,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,11
MPS15,c,0,15,147,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,11
MPS15,c,0,15,147,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,11
MPS15,c,0,15,147,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,11
MPS15,c,0,15,147,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,11
MPS15,c,0,15,147,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,11
MPS15,c,0,15,147,False,How many islands belong to Scotland,around 264,more than 790
MPS15,c,0,15,147,False,The third largest city of Scotland is?,Dundee,Glasgow
MPS15,c,0,15,147,False,Scotland entered into a political union with England?,on 1 May 1707,on 1 May 1707
MPS15,c,0,15,147,False,Scotland constitutes a distinct jurisdiction in:,public and private law,only the private law
MPS15,c,0,15,147,False,

