userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
22F,c,0,22,194,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,9
22F,c,0,22,194,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,4
22F,c,0,22,194,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,13
22F,c,0,22,194,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,15
22F,c,0,22,194,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,16
22F,c,0,22,194,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,1
22F,c,0,22,194,False,How many islands belong to Scotland,around 264,Approx. 500
22F,c,0,22,194,False,The third largest city of Scotland is?,Dundee,Aberdeen
22F,c,0,22,194,False,Scotland entered into a political union with England?,on 1 May 1707,on 1 May 1707
22F,c,0,22,194,False,Scotland constitutes a distinct jurisdiction in:,public and private law,only the private law
22F,c,0,22,194,False,

